Cod.IBGE,Instituição,UF,Valor
3550308,Prefeitura Municipal de São Paulo - SP,SP,92856265446.31999
3304557,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,38088975187.31
3106200,Prefeitura Municipal de Belo Horizonte - MG,MG,17386885662.39
4106902,Prefeitura Municipal de Curitiba - PR,PR,12114640215.75
2304400,Prefeitura Municipal de Fortaleza - CE,CE,11811128658.480001
2927408,Prefeitura Municipal de Salvador - BA,BA,11209391062.07
1302603,Prefeitura Municipal de Manaus - AM,AM,9989531371.929998
4314902,Prefeitura Municipal de Porto Alegre - RS,RS,9871464646.53
5208707,Prefeitura Municipal de Goiânia - GO,GO,8554976284.88
3509502,Prefeitura Municipal de Campinas - SP,SP,8239229786.96
2611606,Prefeitura Municipal de Recife - PE,PE,7935818020.95
3302700,Prefeitura Municipal de Maricá - RJ,RJ,6541956062.76
3518800,Prefeitura Municipal de Guarulhos - SP,SP,6536404622.15
3303302,Prefeitura Municipal de Niterói - RJ,RJ,6202719645.24
2111300,Prefeitura Municipal de São Luís - MA,MA,6010174961.53
3548708,Prefeitura Municipal de São Bernardo do Campo - SP,SP,5885653140.05
5002704,Prefeitura Municipal de Campo Grande - MS,MS,5479547072.53
3505708,Prefeitura Municipal de Barueri - SP,SP,5190441702.46
1501402,Prefeitura Municipal de Belém - PA,PA,4935561964.13
2704302,Prefeitura Municipal de Maceió - AL,AL,4872529703.08
2211001,Prefeitura Municipal de Teresina - PI,PI,4760893650.02
3301702,Prefeitura Municipal de Duque de Caxias - RJ,RJ,4661990533.69
3534401,Prefeitura Municipal de Osasco - SP,SP,4626461600.809999
3552205,Prefeitura Municipal de Sorocaba - SP,SP,4539864614.309999
3549904,Prefeitura Municipal de São José dos Campos - SP,SP,4534564180.92
5103403,Prefeitura Municipal de Cuiabá - MT,MT,4496834746.08
3548500,Prefeitura Municipal de Santos - SP,SP,4363794181.87
3302403,Prefeitura Municipal de Macaé - RJ,RJ,4341560839.16
3543402,Prefeitura Municipal de Ribeirão Preto - SP,SP,4291339760.68
2507507,Prefeitura Municipal de João Pessoa - PB,PB,4227867608.49
3170206,Prefeitura Municipal de Uberlândia - MG,MG,4144990933.48
2408102,Prefeitura Municipal de Natal - RN,RN,4083666487.5
3547809,Prefeitura Municipal de Santo André - SP,SP,3816447688.69
4209102,Prefeitura Municipal de Joinville - SC,SC,3754630841.24
3525904,Prefeitura Municipal de Jundiaí - SP,SP,3674552399.75
3205309,Prefeitura Municipal de Vitória - ES,ES,3440604475.9199996
3118601,Prefeitura Municipal de Contagem - MG,MG,3433038817.64
4205407,Prefeitura Municipal de Florianópolis - SC,SC,3395146974.21
4113700,Prefeitura Municipal de Londrina - PR,PR,3337508964.9100003
4305108,Prefeitura Municipal de Caxias do Sul - RS,RS,3157354867.14
3301009,Prefeitura Municipal de Campos dos Goytacazes - RJ,RJ,3071403438.1400003
2800308,Prefeitura Municipal de Aracaju - SE,SE,3044948150.1800003
1505536,Prefeitura Municipal de Parauapebas - PA,PA,3029109079.8599997
3106705,Prefeitura Municipal de Betim - MG,MG,2961326669.71
3538709,Prefeitura Municipal de Piracicaba - SP,SP,2951393011.33
